participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
92,0,0,19,12,7,1,,,,,,,,1,-1,,1,,,,-1,,-1,1,,,,1,,,,,1,-1,,-1,-1,1,1,,1,,,-1,,,,,1,,,,,,,,,,1,,,1,,,,
93,0,0,9,2,7,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,1,,,,,-1,,,1,,-1,,,-1,,,,,-1,,,,,,-1,,-1,,,,,
94,1,0,11,9,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,-1,-1,,,,1,,,,,,1,,,,,1,,,,1,,,
95,1,0,57,37,12,1,1,0,-1,1,0,1,-1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,0,1,0,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,0,-1,,0,-1,1,1,1,1,1,1,0,1,1,1,,,
96,0,0,26,10,7,,1,-1,,-1,,1,1,,,0,,,,1,,-1,-1,1,,,,,,1,-1,,1,0,1,0,,,,-1,0,,,,,,,,0,,,,0,,0,0,,1,1,,-1,,0,,,
97,1,0,18,12,4,1,,1,,,,,,-1,,1,,1,,,,,-1,,,,,-1,1,,,,1,,1,,,1,,,1,0,,,,,,1,,-1,,1,,,,,,,,1,,,0,,,
98,1,1,58,37,5,1,1,0,1,0,1,1,1,1,-1,0,1,0,0,-1,1,0,1,1,1,-1,0,1,0,0,1,-1,1,1,1,1,1,0,0,1,1,1,1,-1,1,1,1,1,1,1,,1,0,1,0,0,1,1,1,1,0,1,0,1,,
99,0,0,57,22,5,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,1,1,1,-1,1,1,1,0,1,-1,,0,1,0,0,0,1,1,0,1,0,1,0,,,
100,1,0,31,22,1,1,1,0,,0,1,,,0,,,1,0,,1,0,,1,,,,,,,1,1,,1,,1,,1,1,1,,,1,,0,,,1,,1,1,,1,,1,0,0,1,,1,1,,-1,,,,
101,0,0,13,7,0,,,,,,,,,0,,,,,,,,,,,,,1,1,,1,,0,,,,1,,,,0,,,1,,0,,,,,,,1,0,,,,,,,1,0,,,,,
102,1,0,58,36,9,1,1,1,1,0,-1,1,0,1,-1,1,1,0,-1,-1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,-1,-1,-1,1,1,1,1,0,,0,0,1,-1,0,1,1,1,1,0,1,0,0,,
103,1,0,58,35,4,1,0,-1,1,1,0,1,0,-1,1,1,-1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,-1,1,0,1,0,0,0,,1,0,1,0,0,1,0,1,1,1,1,1,1,,
104,1,1,10,5,0,,,,,,,,,,1,,,,,0,,,,,0,1,,,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,,,,,,,1,,,,1,
105,1,0,59,35,2,1,1,0,1,0,0,1,0,0,1,1,1,1,-1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,-1,1,1,0,1,0,1,,1,0,1,1,1,1,1,1,1,0,0,0,1,0,
106,1,0,59,33,10,1,1,-1,1,1,1,1,0,0,1,1,-1,0,-1,1,0,1,0,-1,0,1,1,-1,-1,1,1,1,1,1,-1,0,1,0,1,1,1,-1,1,0,1,1,0,1,1,0,,0,0,0,0,-1,1,1,1,-1,1,1,1,0,1,
107,0,0,59,19,2,0,0,0,1,0,0,1,0,0,0,1,0,0,-1,1,1,0,-1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,0,1,0,
108,0,0,59,24,16,1,-1,-1,1,1,0,1,0,-1,-1,1,0,-1,-1,1,1,0,1,-1,0,-1,1,0,0,1,-1,1,1,1,0,1,-1,0,1,0,0,0,1,-1,-1,1,0,1,0,0,,-1,1,0,1,0,1,1,-1,1,0,-1,1,0,-1,
